LOCATION NUMBER OF DEBTOR|INFOUSA CONTACT NAME|CONTACT TITLE CODE|CONTACT TITLE CODE DESCRIPTION|IUSA COMPANY NAME|IUSA MAILING ADDRESS|IUSA MAIL CITY NAME|IUSA MAIL STATE ABBREV|IUSA MAIL ZIP|IUSA MAIL ZIP4|IUSA MAIL ZIP MERGE|IUSA MAIL CRCODE|IUSA MAIL STATE CODE|IUSA MAIL COUNTY CODE|IUSA COUNTY DESC|MSA CODE|MSA DESCRIPTION|IUSA CENSUS TRACT|IUSA BLOCK GROUP|IUSA LATITUDE|IUSA LONGITUDE|GEOCODING LEVEL CODE|IUSA PHONE NUMBER|FAXNUMO|PRIMARY SIC CODE|PRIMARY SIC DESC|SEC SIC CODE 1|SEC SIC DESC 1|SEC SIC CODE 2|SEC SIC DESC 2|SEC SIC CODE 3|SEC SIC DESC 3|SEC SIC CODE 4|SEC SIC DESC 4|NAICS CODE|NAICS DESCRIPTION|LOC EMP SIZE CODE|LOC EMP SIZE DESC|ACTUAL LOCATION EMPLOYEE SIZE|LOC SALES VOLUME CODE|LOCATION SALES VOL DESC|ACTUAL LOCATION SALES VOLUME|IUSA SUBSIDIARY ID|IUSA PARENT ID|BUSINESS STATUS CODE|YEAR FIRST APPEARED IN YP|BUS CREDIT SCORE CODE|BUSINESS CREDIT SCORE CODE|BUSINESS CREDIT SCORE (ACTUAL)|WORK AT HOME INDICATOR|OWN-LEASE CODE|SQUARE FOOTAGE CODE|WEB ADDRESS - URL|COLLATERAL TYPE|COLLATERAL TYPE DESC|CORP OR IND|DAY ADDED TO UCC DB|MONTH ADDED TO UCC DB|YEAR ADDED TO UCC DB|RECEIVED DAY|RECEIVED MONTH|RECEIVED YEAR|DELIVERABILITY SCORE|DELIVERY POINT BARCODE|EXP DAY|EXP MONTH|EXP YEAR|FILING DAY|FILING MONTH|FILING YEAR|FILING STATE|FILING STATUS|FILING STATUS DESC|FILING TYPE CODE|FILING TYPE DESC|ORIGINAL FILING ID|PARTY TYPE CODE|SOURCE FILING ID|SEC PARTY NAME|SECURED PARTY ADDRESS|SECURED PARTY CITY|SEC PARTY STATE|SECURED PARTY ZIP|SECURED PARTY ZIP4|match code|Key Code 1
106388168|MUKESH DESADI|1|OWNER|RODEWAY INN|PO BOX 285|LEE|MA|01238|0285|01238-0285|B003|25|003|BERKSHIRE|||914100|1||||413-243-0813||701101|HOTELS & MOTELS|||||||||72111002|HOTELS (EXCEPT CASINO HOTELS) & MOTELS|A|1-4|00002|A|LESS THAN $500,000|000000219||400920153|2|1992|B+|85 TO 89|086|||B|RODEWAYINN.COM|||C|27|02|2007|00|00|0000|1C|004|00|00|0000|09|07|2001|MA||UNKNOWN|A1|ORIGINAL|200103769240|D|200103769240|LEE BANK|75 PARK ST|LEE|MA|01238|1701|L|
106388168|MUKESH DESADI|1|OWNER|RODEWAY INN|PO BOX 285|LEE|MA|01238|0285|01238-0285|B003|25|003|BERKSHIRE|||914100|1||||413-243-0813||701101|HOTELS & MOTELS|||||||||72111002|HOTELS (EXCEPT CASINO HOTELS) & MOTELS|A|1-4|00002|A|LESS THAN $500,000|000000219||400920153|2|1992|B+|85 TO 89|086|||B|RODEWAYINN.COM|||C|27|02|2007|00|00|0000|1C|004|00|00|0000|04|04|2003|MA||UNKNOWN|E1|TERMINATION|200103769240|D|200319574870|LEE BANK|75 PARK ST|LEE|MA|01238|1701|L|
106388168|MUKESH DESADI|1|OWNER|RODEWAY INN|PO BOX 285|LEE|MA|01238|0285|01238-0285|B003|25|003|BERKSHIRE|||914100|1||||413-243-0813||701101|HOTELS & MOTELS|||||||||72111002|HOTELS (EXCEPT CASINO HOTELS) & MOTELS|A|1-4|00002|A|LESS THAN $500,000|000000219||400920153|2|1992|B+|85 TO 89|086|||B|RODEWAYINN.COM|||C|11|02|2009|00|00|0000|1C|004|00|00|0000|12|01|2009|MA|A|ACTIVE|A1|ORIGINAL|200970627850|D|200970627850|SAFEMARK SYSTEMS LP|2101 PARK CENTER DR|ORLANDO|FL|32835|7626|T|
106388168|MUKESH DESADI|1|OWNER|RODEWAY INN|PO BOX 285|LEE|MA|01238|0285|01238-0285|B003|25|003|BERKSHIRE|||914100|1||||413-243-0813||701101|HOTELS & MOTELS|||||||||72111002|HOTELS (EXCEPT CASINO HOTELS) & MOTELS|A|1-4|00002|A|LESS THAN $500,000|000000219||400920153|2|1992|B+|85 TO 89|086|||B|RODEWAYINN.COM|||C|07|05|2013|07|05|2013|1C|004|00|00|0000|07|02|2013|MA||UNKNOWN|A1|ORIGINAL|201301804920|D|201301804920|HAPPY ROCK MERCHANT SOLUTIONS LLC|149 W 36TH ST|NEW YORK|NY|10018|6905|T|
106388168|MUKESH DESADI|1|OWNER|RODEWAY INN|PO BOX 285|LEE|MA|01238|0285|01238-0285|B003|25|003|BERKSHIRE|||914100|1||||413-243-0813||701101|HOTELS & MOTELS|||||||||72111002|HOTELS (EXCEPT CASINO HOTELS) & MOTELS|A|1-4|00002|A|LESS THAN $500,000|000000219||400920153|2|1992|B+|85 TO 89|086|||B|RODEWAYINN.COM|||C|07|04|2010|00|00|0000|1C|004|00|00|0000|09|01|2010|MA|A|ACTIVE|A1|ORIGINAL|201077675490|D|201077675490|SOUND GARDEN 1 770 218 5478|PO BOX 2028|WOODSTOCK|GA|30188|1372|T|
106388168|MUKESH DESADI|1|OWNER|RODEWAY INN|PO BOX 285|LEE|MA|01238|0285|01238-0285|B003|25|003|BERKSHIRE|||914100|1||||413-243-0813||701101|HOTELS & MOTELS|||||||||72111002|HOTELS (EXCEPT CASINO HOTELS) & MOTELS|A|1-4|00002|A|LESS THAN $500,000|000000219||400920153|2|1992|B+|85 TO 89|086|||B|RODEWAYINN.COM|||C|27|02|2007|00|00|0000|1C|004|00|00|0000|29|03|1991|MA||UNKNOWN|C1|CONTINUATION|86626241|D|91017117|BERKSHIRE COUNTY SAVINGS BANK|24 NORTH ST|PITTSFIELD|MA|01201|5106|L|
106388168|MUKESH DESADI|1|OWNER|RODEWAY INN|PO BOX 285|LEE|MA|01238|0285|01238-0285|B003|25|003|BERKSHIRE|||914100|1||||413-243-0813||701101|HOTELS & MOTELS|||||||||72111002|HOTELS (EXCEPT CASINO HOTELS) & MOTELS|A|1-4|00002|A|LESS THAN $500,000|000000219||400920153|2|1992|B+|85 TO 89|086|||B|RODEWAYINN.COM|||C|27|02|2007|00|00|0000|1C|004|00|00|0000|22|07|1997|MA|A|ACTIVE|A1|ORIGINAL|97484808|D|97484808|BERKSHIRE BANK|PO BOX 1308|PITTSFIELD|MA|01202|1308|L|
106388168|MUKESH DESADI|1|OWNER|RODEWAY INN|PO BOX 285|LEE|MA|01238|0285|01238-0285|B003|25|003|BERKSHIRE|||914100|1||||413-243-0813||701101|HOTELS & MOTELS|||||||||72111002|HOTELS (EXCEPT CASINO HOTELS) & MOTELS|A|1-4|00002|A|LESS THAN $500,000|000000219||400920153|2|1992|B+|85 TO 89|086|||B|RODEWAYINN.COM|||C|27|02|2007|00|00|0000|1C|004|00|00|0000|22|07|1997|MA|A|ACTIVE|A1|ORIGINAL|97484809|D|97484809|CHITTENDEN FRED C & RITA M|PO BOX 2094|PITTSFIELD|MA|01202|2094|L|
106388168|MUKESH DESADI|1|OWNER|RODEWAY INN|PO BOX 285|LEE|MA|01238|0285|01238-0285|B003|25|003|BERKSHIRE|||914100|1||||413-243-0813||701101|HOTELS & MOTELS|||||||||72111002|HOTELS (EXCEPT CASINO HOTELS) & MOTELS|A|1-4|00002|A|LESS THAN $500,000|000000219||400920153|2|1992|B+|85 TO 89|086|||B|RODEWAYINN.COM|||C|27|02|2007|00|00|0000|1C|004|00|00|0000|22|07|1997|MA|A|ACTIVE|A1|ORIGINAL|97484807|D|97484807|BERKSHIRE BANK|PO BOX 1308|PITTSFIELD|MA|01202|1308|L|
106388168|MUKESH DESADI|1|OWNER|RODEWAY INN|PO BOX 285|LEE|MA|01238|0285|01238-0285|B003|25|003|BERKSHIRE|||914100|1||||413-243-0813||701101|HOTELS & MOTELS|||||||||72111002|HOTELS (EXCEPT CASINO HOTELS) & MOTELS|A|1-4|00002|A|LESS THAN $500,000|000000219||400920153|2|1992|B+|85 TO 89|086|||B|RODEWAYINN.COM|||C|27|02|2007|00|00|0000|1C|004|00|00|0000|07|05|1998|MA|A|ACTIVE|A1|ORIGINAL|98548376|D|98548376|BERKSHIRE BANK|PO BOX 1308|PITTSFIELD|MA|01202|1308|L|
